category,brand,family_key,model,model_year,device_line,chip_family,storage_options,carrier_status,default_condition,source_sheet,base_price_usd,fair_price_from_sheet_cad,maximum_buy_price_cad,max_listing_price_to_alert_cad,condition_prices_usd,deduction_rules_usd,aliases,notes
apple_watch,apple,apple_watch_2023_series_ultra_2_49_mm__not_applicable,apple watch 2023 series ultra 2 49 mm,,,,,not_applicable,b,Apple Watch,225.00,315.00,252.00,277.20,"{""a"":250.0,""b"":225.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",2023 series ultra 2 49 mm|apple watch 2023 series ultra 2 49 mm|watch 2023 series ultra 2 49 mm,Used: ALL Natural Color
apple_watch,apple,apple_watch_2024_series_ultra_2_49_mm__not_applicable,apple watch 2024 series ultra 2 49 mm,,,,,not_applicable,b,Apple Watch,245.00,343.00,274.40,301.84,"{""a"":265.0,""b"":245.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",2024 series ultra 2 49 mm|apple watch 2024 series ultra 2 49 mm|watch 2024 series ultra 2 49 mm,Used: Black Color Only
apple_watch,apple,apple_watch_2025_series_ultra_3_49_mm__not_applicable,apple watch 2025 series ultra 3 49 mm,,,,,not_applicable,b,Apple Watch,365.00,511.00,408.80,449.68,"{""a"":385.0,""b"":365.0,""open"":540.0,""sealed"":580.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",2025 series ultra 3 49 mm|apple watch 2025 series ultra 3 49 mm|watch 2025 series ultra 3 49 mm,
apple_watch,apple,apple_watch_se_2_nd_gen_40_mm__not_applicable,apple watch se 2 nd gen 40 mm,,,,,not_applicable,b,Apple Watch,50.00,70.00,56.00,61.60,"{""a"":60.0,""b"":50.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",apple watch se 2 nd gen 40 mm|se 2 nd gen 40 mm|watch se 2 nd gen 40 mm,
apple_watch,apple,apple_watch_se_2_nd_gen_44_mm__not_applicable,apple watch se 2 nd gen 44 mm,,,,,not_applicable,b,Apple Watch,60.00,84.00,67.20,73.92,"{""a"":70.0,""b"":60.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",apple watch se 2 nd gen 44 mm|se 2 nd gen 44 mm|watch se 2 nd gen 44 mm,
apple_watch,apple,apple_watch_se_3_rd_gen_40_mm__not_applicable,apple watch se 3 rd gen 40 mm,,,,,not_applicable,b,Apple Watch,110.00,154.00,123.20,135.52,"{""a"":120.0,""b"":110.0,""open"":130.0,""sealed"":150.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",apple watch se 3 rd gen 40 mm|se 3 rd gen 40 mm|watch se 3 rd gen 40 mm,
apple_watch,apple,apple_watch_se_3_rd_gen_44_mm__not_applicable,apple watch se 3 rd gen 44 mm,,,,,not_applicable,b,Apple Watch,125.00,175.00,140.00,154.00,"{""a"":135.0,""b"":125.0,""open"":150.0,""sealed"":170.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",apple watch se 3 rd gen 44 mm|se 3 rd gen 44 mm|watch se 3 rd gen 44 mm,
apple_watch,apple,apple_watch_series_10_42_mm__not_applicable,apple watch series 10 42 mm,,,,,not_applicable,b,Apple Watch,120.00,168.00,134.40,147.84,"{""a"":130.0,""b"":120.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",apple watch series 10 42 mm|series 10 42 mm|watch series 10 42 mm,
apple_watch,apple,apple_watch_series_10_46_mm__not_applicable,apple watch series 10 46 mm,,,,,not_applicable,b,Apple Watch,130.00,182.00,145.60,160.16,"{""a"":140.0,""b"":130.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",apple watch series 10 46 mm|series 10 46 mm|watch series 10 46 mm,
apple_watch,apple,apple_watch_series_11_42_mm__not_applicable,apple watch series 11 42 mm,,,,,not_applicable,b,Apple Watch,150.00,210.00,168.00,184.80,"{""a"":170.0,""b"":150.0,""open"":220.0,""sealed"":250.0}","{""heavy_scratching"":{""kind"":""manual"",""reason"":""extra_deduction""},""no_charger"":{""kind"":""flat_usd"",""value"":15.0}}",apple watch series 11 42 mm|series 11 42 mm|watch series 11 42 mm,
